,PORTUGUÊS,ENGLISH,ESPAÑOL,FRANÇAIS
Novo Jogo,Novo Jogo,New Game,Nuevo Juego,Nouveau Jeu
Opções,Opções,Options,Opciones,Options
Sair,Sair,Exit,Salir,Quitter
Idioma,Idioma,Language,Idioma,Langue
Português,Português,Portuguese,Portugués,Portugais
Inglês,Inglês,English,Inglés,Anglais
Espanhol,Espanhol,Spanish,Español,Espagnol
Francês,Francês,French,Francés,Français
Volume,Volume,Volume,Volumen,Volume
Configurações de Volume,Configurações de Volume,Volume Settings,Ajustes de Volumen,Paramètres de Volume
Música,Música,Music,Música,Musique
Ambiente,Ambiente,Ambient,Ambiente,Ambiance
Controles,Controles,Controls,Controles,Commandes
Interface,Interface,Interface,Interfaz,Interface
Tela Cheia,Tela Cheia,Full Screen,Pantalla Completa,Plein Écran
Mostrar FPS,Mostrar FPS,Show FPS,Mostrar FPS,Afficher les FPS
Limite de FPS,Limite de FPS,Frame Rate Limit,Límite de FPS,Limite de FPS
Acessibilidade,Acessibilidade,Accessibility,Accesibilidad,Accessibilité
Filtro de Daltonismo,Filtro de Daltonismo,Color Blindness Filter,Filtro de Daltonismo,Filtre de Daltonisme
Desligado,Desligado,Disabled,Desactivado,Désactivé
Ligado,Ligado,Enabled,Activado,Activé
Intensidade,Intensidade,Intensity,Intensidad,Intensité
Legendas,Legendas,Subtitles,Subtítulos,Sous-titres
Tamanho,Tamanho,Size,Tamaño,Taille
Minutos,Minutos,Minutes,Actas,Minutes
Leitor de Tela,Leitor de Tela,Screen Reader,Lector de Pantalla,Lecteur d'écran
Velocidade,Velocidade,Speed,Velocidad,Vitesse
Alto Contraste,Alto Contraste,High Contrast,Alto Contraste,Contraste Élevé
Voltar,Voltar,Back,Volver,Retour
Tamanho da Interface,Tamanho da Interface,Interface Size,Tamaño de la Interfaz,Taille de l'interface
Opções de Volume,Opções de Volume,Volume Settings,Ajustes de Volumen,Paramètres de Volume
Opções de Controles,Opções de Controles,Control Settings,Ajustes de Controles,Paramètres des Commandes
Opções de Interface,Opções de Interface,Interface Settings,Ajustes de Interfaz,Paramètres d'interface
Opções de Acessibilidade,Opções de Acessibilidade,Accessibility Settings,Ajustes de Accesibilidad,Paramètres d'accessibilité
